序号,时间,地市,流量
189,2017/1/8 20:00,A,1.074140393
190,2017/1/8 21:00,A,1.082467029
191,2017/1/8 22:00,A,1.064823721
192,2017/1/8 23:00,A,1.126256564
193,2017/1/9 00:00,A,0.863566455
194,2017/1/9 01:00,A,0.562992114
195,2017/1/9 02:00,A,
196,2017/1/9 03:00,A,
197,2017/1/9 04:00,A,
198,2017/1/9 05:00,A,0.000213254
199,2017/1/9 06:00,A,0.255335028
200,2017/1/9 07:00,A,0.439263422
201,2017/1/9 08:00,A,0.585472827
202,2017/1/9 09:00,A,0.710630035
203,2017/1/9 10:00,A,0.817021545
204,2017/1/9 11:00,A,0.912020157
205,2017/1/9 12:00,A,1.012997086
206,2017/1/9 13:00,A,0.753737506
207,2017/1/9 14:00,A,0.318073743
208,2017/1/9 15:00,A,0.867449133
209,2017/1/9 16:00,A,0.923873343
210,2017/1/9 17:00,A,0.939745929
211,2017/1/9 18:00,A,0.962893079
212,2017/1/9 19:00,A,1.028279745
213,2017/1/9 20:00,A,1.061964352
214,2017/1/9 21:00,A,1.070354144
215,2017/1/9 22:00,A,1.066022934
216,2017/1/9 23:00,A,1.088778568
217,2017/1/10 00:00,A,0.801149133
218,2017/1/10 01:00,A,0.487136685
219,2017/1/10 02:00,A,
220,2017/1/10 03:00,A,
221,2017/1/10 04:00,A,
222,2017/1/10 05:00,A,0.000263239
223,2017/1/10 06:00,A,0.254690894
224,2017/1/10 07:00,A,0.450218567
225,2017/1/10 08:00,A,0.592765494
226,2017/1/10 09:00,A,0.728825958
227,2017/1/10 10:00,A,0.833768289
228,2017/1/10 11:00,A,0.899309161
229,2017/1/10 12:00,A,1.034719653
230,2017/1/10 13:00,A,0.902229352
231,2017/1/10 14:00,A,0.876043271
232,2017/1/10 15:00,A,0.919859222
233,2017/1/10 16:00,A,0.939128851
234,2017/1/10 17:00,A,0.921879025
235,2017/1/10 18:00,A,0.925547696
236,2017/1/10 19:00,A,1.002590546
237,2017/1/10 20:00,A,1.03691907
238,2017/1/10 21:00,A,1.058191925
239,2017/1/10 22:00,A,1.052889801
240,2017/1/10 23:00,A,1.033047379
241,2017/1/11 00:00,A,0.780680356
242,2017/1/11 01:00,A,0.489278812
243,2017/1/11 02:00,A,0.296364053
244,2017/1/11 03:00,A,0.182937146
245,2017/1/11 04:00,A,0.143240924
246,2017/1/11 05:00,A,0.158637747
247,2017/1/11 06:00,A,0.275031323
248,2017/1/11 07:00,A,0.471166211
249,2017/1/11 08:00,A,0.603388177
250,2017/1/11 09:00,A,0.724110547
251,2017/1/11 10:00,A,0.820189648
252,2017/1/11 11:00,A,0.869740402
253,2017/1/11 12:00,A,0.982103784
254,2017/1/11 13:00,A,0.878011942
255,2017/1/11 14:00,A,0.855113339
256,2017/1/11 15:00,A,0.879522818
257,2017/1/11 16:00,A,0.888297357
258,2017/1/11 17:00,A,0.866440863
259,2017/1/11 18:00,A,0.902112085
260,2017/1/11 19:00,A,0.9732108
261,2017/1/11 20:00,A,1.002678351
262,2017/1/11 21:00,A,
263,2017/1/11 22:00,A,0.971668912
264,2017/1/11 23:00,A,0.929309354
265,2017/1/12 00:00,A,0.680397122
266,2017/1/12 01:00,A,0.4114453
267,2017/1/12 02:00,A,0.246405591
268,2017/1/12 03:00,A,0.16487695
269,2017/1/12 04:00,A,0.140943286
270,2017/1/12 05:00,A,0.182807352
271,2017/1/12 06:00,A,0.395333313
272,2017/1/12 07:00,A,0.642108057
273,2017/1/12 08:00,A,0.735357117
274,2017/1/12 09:00,A,0.868886826
275,2017/1/12 10:00,A,0.954287796
276,2017/1/12 11:00,A,1.030497543
277,2017/1/12 12:00,A,1.127900375
278,2017/1/12 13:00,A,0.956601761
279,2017/1/12 14:00,A,0.921213336
280,2017/1/12 15:00,A,0.944983801
281,2017/1/12 16:00,A,0.948425684
282,2017/1/12 17:00,A,0.949444867
283,2017/1/12 18:00,A,0.975619318
284,2017/1/12 19:00,A,1.030270926
285,2017/1/12 20:00,A,1.059342511
286,2017/1/12 21:00,A,1.066040582
287,2017/1/12 22:00,A,1.045253586
288,2017/1/12 23:00,A,0.943228577
289,2017/1/13 00:00,A,0.638872052
290,2017/1/13 01:00,A,0.367448483
291,2017/1/13 02:00,A,0.2132832
292,2017/1/13 03:00,A,0.140614655
293,2017/1/13 04:00,A,0.122691449
294,2017/1/13 05:00,A,0.15210177
295,2017/1/13 06:00,A,0.297932245
296,2017/1/13 07:00,A,0.51632858
297,2017/1/13 08:00,A,0.643498276
298,2017/1/13 09:00,A,0.797471121
299,2017/1/13 10:00,A,0.868070425
300,2017/1/13 11:00,A,0.940762006
301,2017/1/13 12:00,A,1.034769281
302,2017/1/13 13:00,A,0.936628128
303,2017/1/13 14:00,A,0.909604111
304,2017/1/13 15:00,A,0.932573248
305,2017/1/13 16:00,A,0.929854474
306,2017/1/13 17:00,A,0.927183127
307,2017/1/13 18:00,A,0.945143799
308,2017/1/13 19:00,A,1.019834497
309,2017/1/13 20:00,A,1.03134841
310,2017/1/13 21:00,A,1.003947928
311,2017/1/13 22:00,A,0.928514639
312,2017/1/13 23:00,A,0.776355359
313,2017/1/14 00:00,A,0.527071109
314,2017/1/14 01:00,A,0.312114441
315,2017/1/14 02:00,A,0.197597095
316,2017/1/14 03:00,A,0.135496649
317,2017/1/14 04:00,A,0.116048068
318,2017/1/14 05:00,A,0.146598672
319,2017/1/14 06:00,A,0.259636337
320,2017/1/14 07:00,A,0.465276764
321,2017/1/14 08:00,A,0.595275641
322,2017/1/14 09:00,A,0.752987601
323,2017/1/14 10:00,A,0.838800201
324,2017/1/14 11:00,A,0.86995567
325,2017/1/14 12:00,A,0.95116084
326,2017/1/14 13:00,A,0.90530173
327,2017/1/14 14:00,A,0.871526752
328,2017/1/14 15:00,A,0.884129529
329,2017/1/14 16:00,A,0.867047858
330,2017/1/14 17:00,A,0.852098865
331,2017/1/14 18:00,A,0.908174188
332,2017/1/14 19:00,A,1.012228308
333,2017/1/14 20:00,A,1.027515167
334,2017/1/14 21:00,A,0.977906985
335,2017/1/14 22:00,A,0.881891592
336,2017/1/14 23:00,A,0.712455283
337,2017/1/15 00:00,A,0.470403983
338,2017/1/15 01:00,A,0.284793927
339,2017/1/15 02:00,A,0.186657941
340,2017/1/15 03:00,A,0.13107998
341,2017/1/15 04:00,A,0.113357834
342,2017/1/15 05:00,A,0.140142166
343,2017/1/15 06:00,A,0.244804187
344,2017/1/15 07:00,A,0.440031516
345,2017/1/15 08:00,A,0.583162805
346,2017/1/15 09:00,A,0.713319577
347,2017/1/15 10:00,A,0.805533945
348,2017/1/15 11:00,A,0.856778473
349,2017/1/15 12:00,A,0.901223135
350,2017/1/15 13:00,A,0.880787476
351,2017/1/15 14:00,A,0.871555701
352,2017/1/15 15:00,A,0.861105859
353,2017/1/15 16:00,A,0.843367899
354,2017/1/15 17:00,A,0.828205661
355,2017/1/15 18:00,A,0.869519464
356,2017/1/15 19:00,A,0.96082095
357,2017/1/15 20:00,A,0.969290329
358,2017/1/15 21:00,A,0.920011398
359,2017/1/15 22:00,A,0.824439804
360,2017/1/15 23:00,A,0.675801343
361,2017/1/16 00:00,A,0.441769623
362,2017/1/16 01:00,A,0.271259918
363,2017/1/16 02:00,A,0.172563409
364,2017/1/16 03:00,A,0.132272473
365,2017/1/16 04:00,A,0.11658176
366,2017/1/16 05:00,A,0.149406366
367,2017/1/16 06:00,A,0.267162067
368,2017/1/16 07:00,A,0.453837653
369,2017/1/16 08:00,A,0.602281409
370,2017/1/16 09:00,A,0.728132095
371,2017/1/16 10:00,A,0.792796506
372,2017/1/16 11:00,A,0.827679831
373,2017/1/16 12:00,A,0.89750159
374,2017/1/16 13:00,A,0.839788574
375,2017/1/16 14:00,A,0.838703
376,2017/1/16 15:00,A,0.847230573
377,2017/1/16 16:00,A,0.836702536
378,2017/1/16 17:00,A,0.831601166
379,2017/1/16 18:00,A,0.87214079
380,2017/1/16 19:00,A,0.946189719
381,2017/1/16 20:00,A,1.003849017
382,2017/1/16 21:00,A,0.955753223
383,2017/1/16 22:00,A,0.862703766
384,2017/1/16 23:00,A,0.684894205
385,2017/1/17 00:00,A,0.441600909
386,2017/1/17 01:00,A,0.255874222
387,2017/1/17 02:00,A,0.164873444
388,2017/1/17 03:00,A,0.120698843
389,2017/1/17 04:00,A,0.112868289
390,2017/1/17 05:00,A,0.141735812
391,2017/1/17 06:00,A,0.262309824
392,2017/1/17 07:00,A,0.462279782
393,2017/1/17 08:00,A,0.609638037
394,2017/1/17 09:00,A,0.792297604
395,2017/1/17 10:00,A,0.879628772
396,2017/1/17 11:00,A,0.862880054
397,2017/1/17 12:00,A,0.934163867
398,2017/1/17 13:00,A,0.887440323
399,2017/1/17 14:00,A,0.892848633
400,2017/1/17 15:00,A,0.906287082
401,2017/1/17 16:00,A,0.899468127
402,2017/1/17 17:00,A,0.872886322
403,2017/1/17 18:00,A,0.901172467
404,2017/1/17 19:00,A,0.995114639
405,2017/1/17 20:00,A,1.040043921
406,2017/1/17 21:00,A,0.982425095
407,2017/1/17 22:00,A,0.874098206
408,2017/1/17 23:00,A,0.689503674
409,2017/1/18 00:00,A,0.460137
410,2017/1/18 01:00,A,0.286231155
411,2017/1/18 02:00,A,0.19058392
412,2017/1/18 03:00,A,0.13913663
413,2017/1/18 04:00,A,0.119624133
414,2017/1/18 05:00,A,0.147932272
415,2017/1/18 06:00,A,0.264238669
416,2017/1/18 07:00,A,0.481300964
417,2017/1/18 08:00,A,0.636789362
418,2017/1/18 09:00,A,0.78822674
419,2017/1/18 10:00,A,0.899139194
420,2017/1/18 11:00,A,0.934097299
421,2017/1/18 12:00,A,1.001825861
422,2017/1/18 13:00,A,0.973221985
423,2017/1/18 14:00,A,0.981889209
424,2017/1/18 15:00,A,0.99199408
425,2017/1/18 16:00,A,0.977147903
426,2017/1/18 17:00,A,0.93589902
427,2017/1/18 18:00,A,0.92388403
428,2017/1/18 19:00,A,1.030782852
429,2017/1/18 20:00,A,1.058788239
430,2017/1/18 21:00,A,0.997937131
431,2017/1/18 22:00,A,0.891601053
432,2017/1/18 23:00,A,0.700630307
433,2017/1/19 00:00,A,0.49102829
434,2017/1/19 01:00,A,0.290450381
435,2017/1/19 02:00,A,0.183615259
436,2017/1/19 03:00,A,0.133715393
437,2017/1/19 04:00,A,0.126925024
438,2017/1/19 05:00,A,0.154935046
439,2017/1/19 06:00,A,0.267628299
440,2017/1/19 07:00,A,0.488081284
441,2017/1/19 08:00,A,0.653406766
442,2017/1/19 09:00,A,0.795449548
443,2017/1/19 10:00,A,0.883087201
444,2017/1/19 11:00,A,1.192537543
445,2017/1/19 12:00,A,1.301151428
446,2017/1/19 13:00,A,
447,2017/1/19 14:00,A,0.933508463
448,2017/1/19 15:00,A,0.965195309
449,2017/1/19 16:00,A,0.958033868
450,2017/1/19 17:00,A,0.931599588
451,2017/1/19 18:00,A,0.956368106
452,2017/1/19 19:00,A,1.047376556
453,2017/1/19 20:00,A,1.090826245
454,2017/1/19 21:00,A,1.076011603
455,2017/1/19 22:00,A,0.945002686
456,2017/1/19 23:00,A,0.753072549
457,2017/1/20 00:00,A,0.507450897
458,2017/1/20 01:00,A,0.310150104
459,2017/1/20 02:00,A,0.209516919
460,2017/1/20 03:00,A,0.159344162
461,2017/1/20 04:00,A,0.132022842
462,2017/1/20 05:00,A,0.162887903
463,2017/1/20 06:00,A,0.274834689
464,2017/1/20 07:00,A,0.504973309
465,2017/1/20 08:00,A,0.677183154
466,2017/1/20 09:00,A,0.810587314
467,2017/1/20 10:00,A,0.947922421
468,2017/1/20 11:00,A,0.939895825
469,2017/1/20 12:00,A,0.973257816
470,2017/1/20 13:00,A,0.929034912
471,2017/1/20 14:00,A,0.940393097
472,2017/1/20 15:00,A,0.955643506
473,2017/1/20 16:00,A,0.937468005
474,2017/1/20 17:00,A,0.931932489
475,2017/1/20 18:00,A,0.97315506
476,2017/1/20 19:00,A,1.081992224
477,2017/1/20 20:00,A,1.142348737
478,2017/1/20 21:00,A,1.092304507
479,2017/1/20 22:00,A,0.975737778
480,2017/1/20 23:00,A,0.771754657
481,2017/1/21 00:00,A,0.520524942
482,2017/1/21 01:00,A,0.311729724
483,2017/1/21 02:00,A,0.215219086
484,2017/1/21 03:00,A,0.162443997
485,2017/1/21 04:00,A,0.148762039
486,2017/1/21 05:00,A,0.172912149
487,2017/1/21 06:00,A,0.278803986
488,2017/1/21 07:00,A,0.520170782
489,2017/1/21 08:00,A,0.673452655
490,2017/1/21 09:00,A,0.827812289
491,2017/1/21 10:00,A,0.925042047
492,2017/1/21 11:00,A,0.931199872
493,2017/1/21 12:00,A,0.963201599
494,2017/1/21 13:00,A,0.980528796
495,2017/1/21 14:00,A,0.974892297
496,2017/1/21 15:00,A,0.97857731
497,2017/1/21 16:00,A,0.973885873
498,2017/1/21 17:00,A,0.945761823
499,2017/1/21 18:00,A,0.993344595
500,2017/1/21 19:00,A,1.117356625
501,2017/1/21 20:00,A,1.205880136
502,2017/1/21 21:00,A,1.149911307
503,2017/1/21 22:00,A,1.008591736
504,2017/1/21 23:00,A,0.82150524
505,2017/1/22 00:00,A,0.53978237
506,2017/1/22 01:00,A,0.324672058
507,2017/1/22 02:00,A,0.208609851
508,2017/1/22 03:00,A,0.157087347
509,2017/1/22 04:00,A,0.139020837
510,2017/1/22 05:00,A,0.162652249
511,2017/1/22 06:00,A,0.282704688
512,2017/1/22 07:00,A,0.538952664
513,2017/1/22 08:00,A,0.689746936
514,2017/1/22 09:00,A,0.844088589
515,2017/1/22 10:00,A,0.943196674
516,2017/1/22 11:00,A,0.997529453
517,2017/1/22 12:00,A,1.030259702
518,2017/1/22 13:00,A,1.015729132
519,2017/1/22 14:00,A,1.016517664
520,2017/1/22 15:00,A,1.018527783
521,2017/1/22 16:00,A,1.026824744
522,2017/1/22 17:00,A,1.022311005
523,2017/1/22 18:00,A,1.077949271
524,2017/1/22 19:00,A,1.222119144
525,2017/1/22 20:00,A,1.291610516
526,2017/1/22 21:00,A,1.229788669
527,2017/1/22 22:00,A,1.053632343
528,2017/1/22 23:00,A,0.83453725
529,2017/1/23 00:00,A,0.569591345
530,2017/1/23 01:00,A,0.334212717
531,2017/1/23 02:00,A,0.223640384
532,2017/1/23 03:00,A,0.167556964
533,2017/1/23 04:00,A,0.154095145
534,2017/1/23 05:00,A,0.183867566
535,2017/1/23 06:00,A,0.321033694
536,2017/1/23 07:00,A,0.598490482
537,2017/1/23 08:00,A,0.74276102
538,2017/1/23 09:00,A,0.885313675
539,2017/1/23 10:00,A,1.008946713
540,2017/1/23 11:00,A,1.087279538
541,2017/1/23 12:00,A,1.073819183
542,2017/1/23 13:00,A,1.06222731
543,2017/1/23 14:00,A,1.083669717
544,2017/1/23 15:00,A,1.081602237
545,2017/1/23 16:00,A,1.090687753
546,2017/1/23 17:00,A,1.086423636
547,2017/1/23 18:00,A,1.136961926
548,2017/1/23 19:00,A,1.261642831
549,2017/1/23 20:00,A,1.393272308
550,2017/1/23 21:00,A,1.337625647
551,2017/1/23 22:00,A,1.153687518
552,2017/1/23 23:00,A,0.89323414
553,2017/1/24 00:00,A,0.597759482
554,2017/1/24 01:00,A,0.364771725
555,2017/1/24 02:00,A,0.251415845
556,2017/1/24 03:00,A,0.184220569
557,2017/1/24 04:00,A,0.164134302
558,2017/1/24 05:00,A,0.199172839
559,2017/1/24 06:00,A,0.336905832
560,2017/1/24 07:00,A,0.661124692
561,2017/1/24 08:00,A,0.842599179
562,2017/1/24 09:00,A,1.025031534
563,2017/1/24 10:00,A,1.151227634
564,2017/1/24 11:00,A,1.178630136
565,2017/1/24 12:00,A,1.184961966
566,2017/1/24 13:00,A,1.174185703
567,2017/1/24 14:00,A,1.173054861
568,2017/1/24 15:00,A,1.16749823
569,2017/1/24 16:00,A,1.223354443
570,2017/1/24 17:00,A,1.214685306
571,2017/1/24 18:00,A,1.276579678
572,2017/1/24 19:00,A,1.440731326
573,2017/1/24 20:00,A,1.507360965
574,2017/1/24 21:00,A,1.45087673
575,2017/1/24 22:00,A,1.240547794
576,2017/1/24 23:00,A,0.95213562
577,2017/1/25 00:00,A,0.638288123
578,2017/1/25 01:00,A,0.388428677
579,2017/1/25 02:00,A,0.260997003
580,2017/1/25 03:00,A,0.194490829
581,2017/1/25 04:00,A,0.178422821
582,2017/1/25 05:00,A,0.215002625
583,2017/1/25 06:00,A,0.387556079
584,2017/1/25 07:00,A,0.741893146
585,2017/1/25 08:00,A,0.912076614
586,2017/1/25 09:00,A,1.047569623
587,2017/1/25 10:00,A,1.182057153
588,2017/1/25 11:00,A,1.250624854
589,2017/1/25 12:00,A,1.202985431
590,2017/1/25 13:00,A,1.240670364
591,2017/1/25 14:00,A,1.251363824
592,2017/1/25 15:00,A,1.260934433
593,2017/1/25 16:00,A,1.272423816
594,2017/1/25 17:00,A,1.276180011
595,2017/1/25 18:00,A,1.307443304
596,2017/1/25 19:00,A,1.49606088
597,2017/1/25 20:00,A,1.636086002
598,2017/1/25 21:00,A,1.597042117
599,2017/1/25 22:00,A,1.376532794
600,2017/1/25 23:00,A,1.031253671
601,2017/1/26 00:00,A,0.703664056
602,2017/1/26 01:00,A,0.431944373
603,2017/1/26 02:00,A,0.275032751
604,2017/1/26 03:00,A,0.209506415
605,2017/1/26 04:00,A,0.190223648
606,2017/1/26 05:00,A,0.238675436
607,2017/1/26 06:00,A,0.41323403
608,2017/1/26 07:00,A,0.824815097
609,2017/1/26 08:00,A,1.00084769
610,2017/1/26 09:00,A,1.146862372
611,2017/1/26 10:00,A,1.285793124
612,2017/1/26 11:00,A,1.285891791
613,2017/1/26 12:00,A,1.270401202
614,2017/1/26 13:00,A,1.3370466
615,2017/1/26 14:00,A,1.337575568
616,2017/1/26 15:00,A,1.343888596
617,2017/1/26 16:00,A,1.335995419
618,2017/1/26 17:00,A,1.337734625
619,2017/1/26 18:00,A,1.401644424
620,2017/1/26 19:00,A,1.629521213
621,2017/1/26 20:00,A,1.811365613
622,2017/1/26 21:00,A,1.816580118
623,2017/1/26 22:00,A,1.600866602
624,2017/1/26 23:00,A,1.236910739
625,2017/1/27 00:00,A,0.877980148
626,2017/1/27 01:00,A,0.546674799
627,2017/1/27 02:00,A,0.353665634
628,2017/1/27 03:00,A,0.252542471
629,2017/1/27 04:00,A,0.224020819
630,2017/1/27 05:00,A,0.281661496
631,2017/1/27 06:00,A,0.539889258
632,2017/1/27 07:00,A,1.035288263
633,2017/1/27 08:00,A,1.153427585
634,2017/1/27 09:00,A,1.282739481
635,2017/1/27 10:00,A,1.436041614
636,2017/1/27 11:00,A,1.46455123
637,2017/1/27 12:00,A,1.527695215
638,2017/1/27 13:00,A,1.572622757
639,2017/1/27 14:00,A,1.580584445
640,2017/1/27 15:00,A,1.577397165
641,2017/1/27 16:00,A,1.604116882
642,2017/1/27 17:00,A,1.688470578
643,2017/1/27 18:00,A,1.872758096
644,2017/1/27 19:00,A,2.20875116
645,2017/1/27 20:00,A,2.485984082
646,2017/1/27 21:00,A,2.531695676
647,2017/1/27 22:00,A,2.413229956
648,2017/1/27 23:00,A,2.028911166
649,2017/1/28 00:00,A,1.369404214
650,2017/1/28 01:00,A,0.721669
651,2017/1/28 02:00,A,0.368248404
652,2017/1/28 03:00,A,0.247856448
653,2017/1/28 04:00,A,0.226517447
654,2017/1/28 05:00,A,0.367588828
655,2017/1/28 06:00,A,0.760543439
656,2017/1/28 07:00,A,1.292675348
657,2017/1/28 08:00,A,1.639044708
658,2017/1/28 09:00,A,2.006924863
659,2017/1/28 10:00,A,2.211160855
660,2017/1/28 11:00,A,2.016868561
661,2017/1/28 12:00,A,2.066087244
662,2017/1/28 13:00,A,2.160123657
663,2017/1/28 14:00,A,2.050801334
664,2017/1/28 15:00,A,1.927210709
665,2017/1/28 16:00,A,1.912350085
666,2017/1/28 17:00,A,1.866969653
667,2017/1/28 18:00,A,1.860235205
668,2017/1/28 19:00,A,2.294324854
